title,page_link,pdf_link,issue_date,fda_organization,topic,status,docket_number,comment,closing_comment
COVID-19: Master Protocols Evaluating Drugs and Biological Products for Treatment or Prevention:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/covid-19-master-protocols-evaluating-drugs-and-biological-products-treatment-or-prevention,https://www.fda.gov/media/148739/download,2021-05-17,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']",,Final,FDA-2021-D-0409,No,
M9 Biopharmaceutics Classification System-Based Biowaivers,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m9-biopharmaceutics-classification-system-based-biowaivers,https://www.fda.gov/media/148472/download,2021-05-11,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']",['ICH-Multidisciplinary'],Final,FDA-2018-D-3614,No,
Q12 Technical and Regulatory Considerations for Pharmaceutical Product Lifecycle Management Annex,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q12-technical-and-regulatory-considerations-pharmaceutical-product-lifecycle-management-annex,https://www.fda.gov/media/148477/download,2021-05-11,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['ICH-Quality'],Final,FDA-2018-D-1609,No,
E9(R1) Statistical Principles for Clinical Trials: Addendum: Estimands and Sensitivity Analysis in Clinical Trials:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/e9r1-statistical-principles-clinical-trials-addendum-estimands-and-sensitivity-analysis-clinical,https://www.fda.gov/media/148473/download,2021-05-11,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['ICH-Efficacy'],Final,FDA-2017-D-6113,No,
Q12 Technical and Regulatory Considerations for Pharmaceutical Product Lifecycle Management Guidance for Industry:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/q12-technical-and-regulatory-considerations-pharmaceutical-product-lifecycle-management-guidance,https://www.fda.gov/media/148476/download,2021-05-11,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['ICH-Quality'],Final,FDA-2018-D-1609,No,
S5(R3) Detection of Reproductive and Developmental Toxicity for Human Pharmaceuticals :  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/s5r3-detection-reproductive-and-developmental-toxicity-human-pharmaceuticals,https://www.fda.gov/media/148475/download,2021-05-11,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['ICH-Safety'],Final,FDA-2017-D-5138,No,
Qualified Infectious Disease Product Designation Questions and Answers:  Guidance for Industy,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/qualified-infectious-disease-product-designation-questions-and-answers,https://www.fda.gov/media/148480/download,2021-05-11,['Center for Drug Evaluation and Research'],['Administrative / Procedural'],Final,FDA-2017-D-7001,No,
S11 Nonclinical Safety Testing In Support of Development of Pediatric Pharmaceuticals :  International Council for Harmonisation; Draft Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/s11-nonclinical-safety-testing-support-development-pediatric-pharmaceuticals,https://www.fda.gov/media/148478/download,2021-05-11,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']","['ICH-Safety','Pediatric Product Development']",Final,FDA-2018-D-4524,No,
Submitting Nonclinical Datasets for Evaluation of Rodent Carcinogenicity Studies of Pharmaceuticals,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/submitting-nonclinical-datasets-evaluation-rodent-carcinogenicity-studies-pharmaceuticals,https://www.fda.gov/media/169654/download,2021-05-01,['Center for Drug Evaluation and Research'],,Final,,No,
Nonclinical Testing of Individualized Antisense Oligonucleotide Drug Products for Severely Debilitating or Life-Threatening Diseases Guidance for Sponsor-Investigators: Draft Guidance for Sponsor-Investigators,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/nonclinical-testing-individualized-antisense-oligonucleotide-drug-products-severely-debilitating-or,https://www.fda.gov/media/147876/download,2021-04-26,['Center for Drug Evaluation and Research'],['Pharmacology/Toxicology'],Draft,FDA-2021-D-0320,No,
Guidance for Industry: Enforcement Policy for Providing an Acceptable Unique Facility Identifier (UFI) for the 2020 Food Facility Registration Biennial Renewal Period,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-enforcement-policy-providing-acceptable-unique-facility-identifier-ufi-2020-food,https://www.fda.gov/media/143997/download,2021-03-30,['Human Foods Program'],['Registration'],Final,FDA-2012-D-1002,No,
Manufacturing Considerations for Licensed and Investigational Cellular and Gene Therapy Products During COVID-19 Public Health Emergency:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/manufacturing-considerations-licensed-and-investigational-cellular-and-gene-therapy-products-during,https://www.fda.gov/media/145301/download,2021-01-19,['Center for Biologics Evaluation and Research'],"['Coronavirus','Gene Therapy']",Final,FDA-2020-D-1137,No,
Safer Technologies Program for Medical Devices:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/safer-technologies-program-medical-devices,https://www.fda.gov/media/130815/download,2021-01-06,"['Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']","['Premarket','510(k)','Premarket Approval (PMA)']",Final,FDA-2019-D-4048,No,
Mouse Embryo Assay for Assisted Reproduction Technology Devices,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/mouse-embryo-assay-assisted-reproduction-technology-devices,https://www.fda.gov/media/127874/download,2021-01-05,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Premarket Approval (PMA)','Investigational Device Exemption (IDE)','Obstetrical & Gynecological']",Final,FDA-2019-D-2105,No,
IND Submissions for Individualized Antisense Oligonucleotide Drug Products: Administrative and Procedural Recommendations Guidance for Sponsor-Investigators: Draft Guidance for Sponsor-Investigators,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/ind-submissions-individualized-antisense-oligonucleotide-drug-products-administrative-and-procedural,https://www.fda.gov/media/144872/download,2021-01-04,['Center for Drug Evaluation and Research'],['Administrative / Procedural'],Draft,FDA-2020-D-2199,No,2021-03-04
Consumer Antiseptic  Rub Final Rule Questions and Answers Guidance for Industry:  Guidance for Industry,,,2020-12-30,[],['Over-the-Counter Drugs'],Final,FDA-2016-N-0124,No,
Product Labeling for Laparoscopic Power Morcellators:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/product-labeling-laparoscopic-power-morcellators,https://www.fda.gov/media/90012/download,2020-12-30,['Center for Devices and Radiological Health'],"['Postmarket','Premarket','510(k)','Labeling','Safety - Issues, Errors, and Problems','Obstetrical & Gynecological','General & Plastic Surgery']",Final,FDA-2014-D-1804,No,
Providing Regulatory Submissions in Electronic Format --Content of the Risk Evaluation and Mitigation Strategies Document Using Structured Product Labeling:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/providing-regulatory-submissions-electronic-format-content-risk-evaluation-and-mitigation-strategies,https://www.fda.gov/media/107302/download,2020-12-23,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']","['Electronic Submissions','Generic Drugs']",Final,FDA-2017-D-4303,No,
Guidance for Industry: The Use of an Alternate Name for Potassium Chloride in Food Labeling,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-use-alternate-name-potassium-chloride-food-labeling,https://www.fda.gov/media/125081/download,2020-12-17,['Human Foods Program'],['Labeling'],Final,FDA-2019-D-0892,No,
Bacterial Risk Control Strategies for Blood Collection Establishments and Transfusion Services to Enhance the Safety and Availability of Platelets for Transfusion:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/bacterial-risk-control-strategies-blood-collection-establishments-and-transfusion-services-enhance,https://www.fda.gov/media/123448/download,2020-12-17,['Center for Biologics Evaluation and Research'],['Blood Products'],Final,FDA-2014-D-1814,No,
Dry Eye: Developing Drugs for Treatment Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dry-eye-developing-drugs-treatment-guidance-industry,https://www.fda.gov/media/144594/download,2020-12-16,['Center for Drug Evaluation and Research'],['Clinical - Medical'],Draft,FDA-2020-D-2214,No,2021-03-17
Interacting with the FDA on Complex Innovative Trial Designs for Drugs and Biological Products:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/interacting-fda-complex-innovative-trial-designs-drugs-and-biological-products,https://www.fda.gov/media/130897/download,2020-12-16,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']",['Clinical - Medical'],Final,FDA-2019-D-3679,No,
CVM GFI #262 Pre-Submission Consultation Process for Animal Food Additive Petitions or Generally Recognized as Safe (GRAS) Notices,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-262-pre-submission-consultation-process-animal-food-additive-petitions-or-generally,https://www.fda.gov/media/134995/download,2020-12-11,['Center for Veterinary Medicine'],"['Animal Food Additives','Generally Recognized as Safe (GRAS)']",Final,FDA-2020-D-0064,No,2020-04-13
Magnetic Resonance (MR) Receive-only Coil - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/magnetic-resonance-mr-receive-only-coil-performance-criteria-safety-and-performance-based-pathway,https://www.fda.gov/media/133250/download,2020-12-11,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Radiology']",Final,FDA-2019-D-1650,No,
Orthopedic Non-Spinal Metallic Bone Screws and Washers - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/orthopedic-non-spinal-metallic-bone-screws-and-washers-performance-criteria-safety-and-performance,https://www.fda.gov/media/130866/download,2020-12-11,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Orthopedic']",Final,FDA-2019-D-1652,No,
Spinal Plating Systems - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/spinal-plating-systems-performance-criteria-safety-and-performance-based-pathway,https://www.fda.gov/media/130867/download,2020-12-11,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Orthopedic']",Final,FDA-2019-D-1647,No,
Best Practices in Developing Proprietary Names for Human Prescription Drug Products; Guidance for Industry:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/best-practices-developing-proprietary-names-human-prescription-drug-products-guidance-industry,https://www.fda.gov/media/88496/download,2020-12-08,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']","['Safety - Issues, Errors, and Problems']",Final,FDA-2014-D-0622,No,
Best Practices in Developing Proprietary Names for Human Nonprescription Drug Products; Draft Guidance for Industry: Draft Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/best-practices-developing-proprietary-names-human-nonprescription-drug-products-draft-guidance,https://www.fda.gov/media/144257/download,2020-12-08,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']","['Safety - Issues, Errors, and Problems']",Draft,FDA-2020-D-0770,No,2021-02-08
Requesting FDA Feedback on Combination Products :  Guidance for Industry and FDA Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/requesting-fda-feedback-combination-products,https://www.fda.gov/media/133768/download,2020-12-04,"['Office of the Commissioner','Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research','Center for Devices and Radiological Health']","['Combination Products','Over-the-Counter Drugs']",Final,FDA-2019-D-4739,No,2020-02-24
"Recommendations for Screening, Testing, and Management of Blood Donors and Blood and Blood Components Based on Screening Tests for Syphilis:  Guidance for Industry",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-screening-testing-and-management-blood-donors-and-blood-and-blood-components-based,https://www.fda.gov/media/85283/download,2020-12-02,['Center for Biologics Evaluation and Research'],['Blood Products'],Final,FDA-2003-D-0128,No,
Compliance Policy Guide CPG Sec. 110.650 Weekly Entry Filing Guidance for Industry and FDA Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/compliance-policy-guide-cpg-sec-110650-weekly-entry-filing-guidance-industry-and-fda-staff,https://www.fda.gov/media/144074/download,2020-11-30,['Office of Inspections and Investigations'],"['Compliance','Export','Import']",Final,FDA-2019-D-3904,No,
CVM GFI #242 In-Use Stability Studies and Associated Labeling Statements for Multiple-Dose Injectable Animal Drug Products,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-242-use-stability-studies-and-associated-labeling-statements-multiple-dose-injectable-animal,https://www.fda.gov/media/102469/download,2020-11-27,['Center for Veterinary Medicine'],"['Chemistry, Manufacturing, and Controls (CMC)','New Animal Drug Application (NADA)','Investigational New Animal Drug (INAD)']",Final,FDA-2016-D-4437,No,2017-03-06
Qualification Process for Drug Development Tools Guidance for Industry and FDA Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/qualification-process-drug-development-tools-guidance-industry-and-fda-staff,https://www.fda.gov/media/133511/download,2020-11-24,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']","['Administrative / Procedural','Clinical - Medical','Drug Development Tools']",Final,FDA-2010-D-0529,No,
CVM GFI #255 Elemental Impurities in Animal Drug Products Questions and Answers,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-255-elemental-impurities-animal-drug-products-questions-and-answers,https://www.fda.gov/media/111953/download,2020-11-23,['Center for Veterinary Medicine'],"['Chemistry, Manufacturing, and Controls (CMC)']",Final,FDA-2018-D-0943,No,2018-05-29
Public Availability of Lists of Retail Consignees to Effectuate Certain Human and Animal Food Recalls:  Guidance for Industry and FDA Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/public-availability-lists-retail-consignees-effectuate-certain-human-and-animal-food-recalls,https://www.fda.gov/media/116401/download,2020-11-20,"['Center for Veterinary Medicine','Office of Inspections and Investigations','Human Foods Program']","['Recalls','Retail Food Protection']",Final,FDA-2018-D-1752,No,2018-11-26
CVM GFI #197 Documenting Electronic Data Files and Statistical Analysis Programs,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-197-documenting-electronic-data-files-and-statistical-analysis-programs,https://www.fda.gov/media/75077/download,2020-11-13,['Center for Veterinary Medicine'],"['Target Animal – Effectiveness','Target Animal – Safety','Investigational New Animal Drug (INAD)']",Final,FDA-2009-D-0052,No,2018-07-20
"Certificates of Confidentiality:  Guidance for Sponsors, Sponsor-Investigators, Researchers, Industry, and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/certificates-confidentiality,https://www.fda.gov/media/132966/download,2020-11-13,"['Office of the Commissioner','Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research','Center for Devices and Radiological Health','Center for Tobacco Products','Human Foods Program','Center for Veterinary Medicine','Office of the Commissioner']","['Research','Good Clinical Practice (GCP)']",Final,FDA-2019-D-3592,No,2020-01-08
Draft Guidance for Industry: Voluntary Disclosure of Sesame as an Allergen,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/draft-guidance-industry-voluntary-disclosure-sesame-allergen,https://www.fda.gov/media/143521/download,2020-11-10,['Human Foods Program'],['Allergens'],Draft,FDA-2020-D-0530,No,2021-02-25
Regulatory Considerations for Microneedling Products:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/regulatory-considerations-microneedling-products,https://www.fda.gov/media/107708/download,2020-11-10,['Center for Devices and Radiological Health'],"['Premarket','General & Plastic Surgery']",Final,FDA-2017-D-4792,No,
"Enhancing the Diversity of Clinical Trial Populations — Eligibility Criteria, Enrollment Practices, and Trial Designs Guidance for Industry",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/enhancing-diversity-clinical-trial-populations-eligibility-criteria-enrollment-practices-and-trial,https://www.fda.gov/media/127712/download,2020-11-09,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']","['Clinical - Medical','Pediatric Product Development']",Final,FDA-2019-D-1264,No,
Assessing User Fees Under the Prescription Drug User Fee Amendments of 2017 Guidance for Industry:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/assessing-user-fees-under-prescription-drug-user-fee-amendments-2017-guidance-industry,https://www.fda.gov/media/108233/download,2020-11-09,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']",['User Fees'],Final,FDA-2017-D-5913,No,
Insanitary Conditions at Compounding Facilities Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/insanitary-conditions-compounding-facilities-guidance-industry,https://www.fda.gov/media/124948/download,2020-11-06,['Center for Drug Evaluation and Research'],"['Administrative / Procedural','Compounding']",Final,FDA-2016-D-2268,No,
Guidance for Industry: Prior Notice of Imported Food Contingency Plan for System Outages,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-prior-notice-imported-food-contingency-plan-system-outages,https://www.fda.gov/media/143799/download,2020-11-01,['Office of Inspections and Investigations'],['Import'],Final,FDA-2004-D-0042,No,
Nonclinical Testing of Orally Inhaled Nicotine-Containing Drug Products Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/nonclinical-testing-orally-inhaled-nicotine-containing-drug-products-guidance-industry,https://www.fda.gov/media/115150/download,2020-10-28,['Center for Drug Evaluation and Research'],['Pharmacology/Toxicology'],Final,FDA-2018-D-2583,No,
Referencing Approved Drug Products in ANDA Submissions Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/referencing-approved-drug-products-anda-submissions-guidance-industry,https://www.fda.gov/media/102360/download,2020-10-27,['Center for Drug Evaluation and Research'],['Generic Drugs'],Final,FDA-2017-D-0114,No,
Wholesale Distributor Verification Requirement for Saleable Returned Drug Product and Dispenser Verification Requirements When Investigating a Suspect or Illegitimate Product—Compliance Policies,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/wholesale-distributor-verification-requirement-saleable-returned-drug-product-and-dispenser-0,https://www.fda.gov/media/171677/download,2020-10-22,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Administrative / Procedural'],Final,FDA-2019-D-4212.,No,
Guidance for Industry: The Declaration of Allulose and Calories from Allulose on Nutrition and Supplement Facts Labels,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-declaration-allulose-and-calories-allulose-nutrition-and-supplement-facts-labels,https://www.fda.gov/media/123342/download,2020-10-16,['Human Foods Program'],"['Labeling','Nutrition Label']",Final,FDA-2019-D-0725,No,
Guidance for Industry: U.S. Agent Voluntary Identification System (VIS) for Food Facility Registration,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-us-agent-voluntary-identification-system-vis-food-facility-registration,https://www.fda.gov/media/142968/download,2020-10-16,['Human Foods Program'],['Registration'],Final,FDA-2012-D-1002,No,
Testing for Biotin Interference in In Vitro Diagnostic Devices:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/testing-biotin-interference-in-vitro-diagnostic-devices,https://www.fda.gov/media/127915/download,2020-10-16,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']","['Blood','Blood Products','IVDs (In Vitro Diagnostic Devices)']",Final,FDA-2019-D-1876,No,
Opioid Use Disorder: Endpoints for Demonstrating Effectiveness of Drugs for Treatment Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/opioid-use-disorder-endpoints-demonstrating-effectiveness-drugs-treatment-guidance-industry,https://www.fda.gov/media/114948/download,2020-10-01,['Center for Drug Evaluation and Research'],['Clinical - Medical'],Final,FDA-2018-D-2382,No,
"Importation of Certain FDA- Approved Human Prescription Drugs, Including Biological Products, and Combination Products under Section 801(d)(1)(B) of the Federal Food, Drug, and Cosmetic Act:  Guidance for Industry",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/importation-certain-fda-approved-human-prescription-drugs-including-biological-products-and,https://www.fda.gov/media/142474/download,2020-10-01,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research','Office of Inspections and Investigations','Office of the Commissioner']","['Investigation & Enforcement','Labeling','Chemistry, Manufacturing, and Controls (CMC)','Combination Products','Pharmaceutical Quality']",Final,FDA-2019-D-5743,No,2020-02-21
"The Use of Physiologically Based Pharmacokinetic Analyses — Biopharmaceutics Applications for Oral Drug Product Development, Manufacturing Changes, and Controls : Draft Guidance for Industry",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/use-physiologically-based-pharmacokinetic-analyses-biopharmaceutics-applications-oral-drug-product,https://www.fda.gov/media/142500/download,2020-09-30,['Center for Drug Evaluation and Research'],"['Chemistry, Manufacturing, and Controls (CMC)','Pharmaceutical Quality']",Draft,FDA-2020-D-1517,No,2020-11-30
"Saline, Silicone Gel, and Alternative Breast Implants:  Guidance for Industry and FDA Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/saline-silicone-gel-and-alternative-breast-implants,https://www.fda.gov/media/71081/download,2020-09-29,['Center for Devices and Radiological Health'],"['Premarket','General & Plastic Surgery','Labeling']",Final,FDA-2004-D-0124,No,
Blood Glucose Monitoring Test Systems for Prescription Point-of-Care Use:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/blood-glucose-monitoring-test-systems-prescription-point-care-use,https://www.fda.gov/media/119829/download,2020-09-29,['Center for Devices and Radiological Health'],"['Premarket','CLIA (Clinical Laboratory Improvement Amendments)','IVDs (In Vitro Diagnostic Devices)','General Hospital & Personal Use','Clinical Chemistry & Clinical Toxicology']",Final,FDA-2013-D-1445,No,
Breast Implants - Certain Labeling Recommendations to Improve Patient Communication:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/breast-implants-certain-labeling-recommendations-improve-patient-communication,https://www.fda.gov/media/131885/download,2020-09-29,['Center for Devices and Radiological Health'],"['Premarket','General & Plastic Surgery','Labeling']",Final,FDA-2019-D-4467,No,2019-12-23
Self-Monitoring Blood Glucose Test Systems for Over-the-Counter Use:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/self-monitoring-blood-glucose-test-systems-over-counter-use,https://www.fda.gov/media/87721/download,2020-09-29,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Clinical Chemistry & Clinical Toxicology','Over-the-Counter Drugs']",Final,FDA-2013-D-1446,No,
"Basic Safety and Essential Performance of Medical Electrical Equipment, Medical Electrical Systems, and Laboratory Medical Equipment - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Pilot Program:  Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/basic-safety-and-essential-performance-medical-electrical-equipment-medical-electrical-systems-and,https://www.fda.gov/media/142385/download,2020-09-25,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']",['Premarket'],Final,FDA-2019-D-3805,No,
"Biocompatibility Testing of Medical Devices - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Pilot Program:  Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/biocompatibility-testing-medical-devices-standards-specific-information-accreditation-scheme,https://www.fda.gov/media/142388/download,2020-09-25,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']",['Premarket'],Final,FDA-2019-D-3805,No,
"The Accreditation Scheme for Conformity Assessment (ASCA) Pilot Program:  Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/basic-safety-and-essential-performance-medical-electrical-equipment-medical-electrical-systems-and,https://www.fda.gov/media/142385/download,2020-09-25,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']",['Premarket'],Final,FDA-2019-D-3805,No,
Eosinophilic Esophagitis: Developing Drugs for Treatment Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/eosinophilic-esophagitis-developing-drugs-treatment-guidance-industry,https://www.fda.gov/media/120089/download,2020-09-15,['Center for Drug Evaluation and Research'],"['Clinical - Medical','Pediatric Product Development']",Final,FDA-2019-D-0177,No,
Geriatric Information in Human Prescription Drug and Biological Product Labeling Guidance for Industry: Draft Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/geriatric-information-human-prescription-drug-and-biological-product-labeling-guidance-industry,https://www.fda.gov/media/142162/download,2020-09-15,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Labeling'],Draft,FDA-2020-D-1621,No,2020-11-16
Recognition and Withdrawal of Voluntary Consensus Standards:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recognition-and-withdrawal-voluntary-consensus-standards,https://www.fda.gov/media/71995/download,2020-09-15,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']",['Administrative / Procedural'],Final,FDA-2018-D-2936,No,
CVM GFI #191 Changes to Approved NADAs - New NADAs vs. Category II Supplemental NADAs,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-191-changes-approved-nadas-new-nadas-vs-category-ii-supplemental-nadas,https://www.fda.gov/media/70423/download,2020-08-27,['Center for Veterinary Medicine'],['New Animal Drug Application (NADA)'],Final,FDA-2008-D-0614,No,
Acute Myeloid Leukemia:  Developing Drugs and Biological Products for Treatment: Draft Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/acute-myeloid-leukemia-developing-drugs-and-biological-products-treatment,https://www.fda.gov/media/140821/download,2020-08-17,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Clinical - Medical'],Draft,FDA-2020-D-1298,No,2020-10-13
Conventional Foley Catheters - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/conventional-foley-catheters-performance-criteria-safety-and-performance-based-pathway,https://www.fda.gov/media/130865/download,2020-08-14,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Gastroenterology-Urology']",Final,FDA-2019-D-1651,No,
Cutaneous Electrodes for Recording Purposes - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cutaneous-electrodes-recording-purposes-performance-criteria-safety-and-performance-based-pathway,https://www.fda.gov/media/130864/download,2020-08-14,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Neurological']",Final,FDA-2019-D-1649,No,
"Civil Money Penalties Relating to the ClinicalTrials.gov Data Bank:  Guidance for Responsible Parties, Submitters of Certain Applications and Submissions to FDA, and FDA Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/civil-money-penalties-relating-clinicaltrialsgov-data-bank,https://www.fda.gov/media/113361/download,2020-08-14,"['Office of Inspections and Investigations','Office of the Commissioner','Center for Drug Evaluation and Research','Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']","['Investigation & Enforcement','Good Clinical Practice (GCP)']",Final,FDA-2018-D-0787,No,
Male Breast Cancer: Developing Drugs for Treatment:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/male-breast-cancer-developing-drugs-treatment,https://www.fda.gov/media/130061/download,2020-08-12,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Clinical - Medical'],Final,FDA-2019-D-2966,No,2019-10-28
"Marketing Status Notifications Under Section 506I of the Federal Food, Drug, and Cosmetic Act",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/marketing-status-notifications-under-section-506i-federal-food-drug-and-cosmetic-act,https://www.fda.gov/media/120095/download,2020-08-10,['Center for Drug Evaluation and Research'],['Administrative / Procedural'],Final,FDA-2018-D-4615,No,
